name,full_name,description,stars,forks,language,created_at,updated_at,open_issues_count,watchers_count,contributor_count,commit_count_30d,issue_count,pr_count,latest_commit,description_sentiment,cluster
HunyuanVideo,Tencent/HunyuanVideo,HunyuanVideo: A Systematic Framework For Large Video Generation Model,6200,451,Python,2024-11-28 08:38:31+00:00,2024-12-19 06:04:30+00:00,105,6200,17,100,100,22,2024-12-19 06:04:25+00:00,0.21428571428571427,2
TRELLIS,microsoft/TRELLIS,"Official repo for paper ""Structured 3D Latents for Scalable and Versatile 3D Generation"".",4625,249,Python,2024-12-02 05:44:19+00:00,2024-12-19 06:17:43+00:00,54,4625,5,13,75,6,2024-12-18 11:15:29+00:00,0.0,0
smol-course,huggingface/smol-course,A course on aligning smol models.,3391,1018,Jupyter Notebook,2024-11-25 19:22:43+00:00,2024-12-19 06:09:59+00:00,27,3391,28,100,100,93,2024-12-18 08:30:30+00:00,0.0,1
Automated-AI-Web-Researcher-Ollama,TheBlewish/Automated-AI-Web-Researcher-Ollama,"A python program that turns an LLM, running on Ollama, into an automated researcher, which will with a single query determine focus areas to investigate, do websearches and scrape content from various relevant websites and do research for you all on its own! And more, not limited to but including saving the findings for you!",2398,241,Python,2024-11-20 07:50:38+00:00,2024-12-19 02:05:34+00:00,10,2398,8,53,62,27,2024-12-14 06:50:14+00:00,0.2705357142857143,0
LTX-Video,Lightricks/LTX-Video,Official repository for LTX-Video,1986,138,Python,2024-11-20 20:06:28+00:00,2024-12-19 05:17:36+00:00,43,1986,6,13,65,16,2024-12-16 08:06:53+00:00,0.0,0
go-cursor-help,yuaotian/go-cursor-help,解决Cursor在免费订阅期间出现以下提示的问题:  Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.,1904,303,Go,2024-12-09 07:07:09+00:00,2024-12-19 06:09:21+00:00,35,1904,7,52,57,9,2024-12-18 22:02:18+00:00,0.45,0
echomimic_v2,antgroup/echomimic_v2,"EchoMimicV2: Towards Striking, Simplified, and Semi-Body Human Animation",1863,219,Python,2024-11-20 08:35:35+00:00,2024-12-19 06:12:56+00:00,34,1863,5,100,95,6,2024-12-16 14:33:02+00:00,0.25,0
gitingest,cyclotruc/gitingest,Replace 'hub' with 'ingest' in any github url to get a prompt-friendly (con)text to paste into any LLM,1548,131,Python,2024-11-29 08:27:18+00:00,2024-12-19 06:05:24+00:00,10,1548,9,100,34,12,2024-12-19 06:00:05+00:00,0.0,0
languages,bddicken/languages,Compare languages,1455,284,Shell,2024-11-20 03:26:36+00:00,2024-12-19 04:56:28+00:00,55,1455,30,100,100,100,2024-12-18 23:27:54+00:00,0.0,0
flow_matching,facebookresearch/flow_matching,"A PyTorch library for implementing flow matching algorithms, featuring continuous and discrete flow matching implementations. It includes practical examples for both text and image modalities.",1409,55,Python,2024-12-07 21:02:50+00:00,2024-12-19 05:50:03+00:00,1,1409,5,12,20,11,2024-12-18 15:01:49+00:00,0.0,0
